"processor","base_result","price","peak_result","cores","chips","enabled_threads _per_core","processor_mhz","parallelization","base_pointer_size","peak_pointer_size","1st_level_cache","2nd_level_cache","3rd_level_cache","test_date"
"AMD EPYC 7232P","54.9","589","0","8","1","2","3100","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip, 8 MB shared / 2 cores","1/1/2020 00:00:00"
"AMD EPYC 7251","56.1","899","57","8","1","2","2100","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip","1/3/2019 00:00:00"
"AMD EPYC 7252","115","689","122","16","2","2","3100","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 16 MB shared / 2 cores","1/11/2019 00:00:00"
"AMD EPYC 7261","54.9","999","51.8","8","1","2","2500","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip","1/5/2018 00:00:00"
"AMD EPYC 7262","81","1590","86.7","16","2","2","3200","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB per core","1/9/2019 00:00:00"
"AMD EPYC 7281","93.5","1399","94.8","16","1","2","2100","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip, 4 MB shared / 2 cores","1/3/2019 00:00:00"
"AMD EPYC 7282","106","1119","109","32","2","2","2800","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 16 MB shared / 4 cores","1/2/2020 00:00:00"
"AMD EPYC 7301","158","1699","173","32","2","2","2200","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/8/2018 00:00:00"
"AMD EPYC 7302","143","2276","144","16","1","2","3000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 2 cores","1/9/2019 00:00:00"
"AMD EPYC 7302P","117","2276","123","16","1","2","3000","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 2 cores","1/8/2019 00:00:00"
"AMD EPYC 7351","167","1549","178","32","2","2","2400","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/4/2018 00:00:00"
"AMD EPYC 7351P","90.5","1549","0","16","1","2","2400","No","64-bit","Not Applicable","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/6/2018 00:00:00"
"AMD EPYC 7352","166","3561","167","24","1","2","2300","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/3/2020 00:00:00"
"AMD EPYC 7401","222","3499","0","48","2","2","2000","No","64-bit","Not Applicable","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/11/2017 00:00:00"
"AMD EPYC 7401P","111","2299","121","24","1","2","2000","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/12/2017 00:00:00"
"AMD EPYC 7402","326","3299","341","48","2","2","2800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/9/2020 00:00:00"
"AMD EPYC 7402P","163","3299","172","24","1","2","2800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/8/2019 00:00:00"
"AMD EPYC 7451","128","4599","134","24","1","2","2300","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/3/2019 00:00:00"
